"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Thursday, February 01, 2018",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,"DUI- Alcohol, Drug, Vapor, Combination Thereof,",S Mill Ave/ W,
18-8783T,2/1,0246 hrs,2/1,0246 hrs,2/1 0246 hrs,,Cleared By Arrest
"",,,,,Driving with a suspended license,Concorda Dr,
"",,,,,"Possession of Marijuana, Possession of Drug",,
18-9020T,2/1,2233 hrs,2/1,2236 hrs,2/1 2236 hrs,Barrett Agave,Cleared By Arrest
"",,,,,Paraphernalia,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-9080T,2/2,0302 hrs,2/2,0302 hrs,2/2,0305 hrs Criminal Trespass- 2nd Degree,,Sun Devil Stadium,Cleared By Arrest
"",,,,,,,,Parking Structure,
18-9146T,2/2,1133 hrs,2/2,0001 hrs,2/2,0001 hrs Criminal Damage,,,Pending
"",,,,,,,,Tyler,
18-9177T,2/2,1435 hrs,2/2,1225 hrs,2/2,1225 hrs Fraudulent Use of a Credit Card,,Vista Del Sol,Pending
18-9178T,2/2,1438 hrs,1/9,1700 hrs,1/26,1200 hrs Theft,,ASU Bookstore,Pending
"",,,,,,,,Business,
18-9186T,2/2,1453 hrs,1/29,1505 hrs,1/29,1630 hrs Bike Theft,,,Pending
"",,,,,,,,Administration C,
18-9210P,2/2,1810 hrs,1/25,1900 hrs,1/30,1000 hrs Fraudulent Schemes and Artifices,,Century Hall,Pending
18-9228T,2/2,1953 hrs,2/2,1953 hrs,2/2,2058 hrs Under 21 with Alcohol in Body,,Parking Structure 5,Cleared By Arrest
18-80000032T,2/2,1137 hrs,1/31,1300 hrs,1/31,1735 hrs Bike Theft,,Student Services,Pending
18-80000033T,2/2,1512 hrs,2/2,0900 hrs,2/2,1440 hrs Bike Theft,,Memorial Union,Pending
18-80000037T,2/2,2119 hrs,2/2,2040 hrs,2/2,2110 hrs Bike Theft,,Memorial Union,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
