Police Log,,,,,,,,,
Arizona State University Police Department,,,,,,,,,
"Friday, September 01, 2017",,,,,,,,,
"",,,,,,,,,
Incident #,"DateReported","TimeReported","OccurredFromThru",Description,Location,Disposition,,,
"",,Date,Time,Date,Time,,,,
17-68193T,9/1,0030 hrs,8/31,2300 hrs,8/31,2330 hrs,Burglary in the 2nd Degree,Manzanita Hall,Cleared By Arrest
17-68195P,9/1,0104 hrs,9/1,0104 hrs,9/1,0104 hrs,"Possession of Marijuana X 2, Possession of DrugParaphernalia X 2",Mustang Hall,Pending
17-68199T,9/1,0139 hrs,9/1,0139 hrs,9/1,0139 hrs,Criminal Trespass in the 2nd Degree,Adelphi Commons,Cleared By Arrest
17-68262T,9/1,0819 hrs,9/1,0819 hrs,9/1,0905 hrs,"Burglary, Fraudulent use of a Credit/ Debit Card","Physical Sciences D-Wing",Pending
17-68279T,9/1,0900 hrs,8/31,2145 hrs,9/1,0845 hrs,Theft,Student Pavilion,Pending
17-68280T,9/1,0944 hrs,8/31,2230 hrs,9/1,0600 hrs,Theft,Tooker House B,Pending
17-68336T,9/1,1220 hrs,9/1,1220 hrs,9/1,1220 hrs,Driving with a suspended/Cancelled/ Revoked License,"E University Dr/ SRural Rd",Cleared By Arrest
17-68340D,9/1,1228 hrs,8/29,0900 hrs,9/1,1300 hrs,Burglary in the 3rd Degree,University Center,Pending
17-68453T,9/1,1958 hrs,9/1,1958 hrs,9/1,1958 hrs,Criminal Trespass in the 2nd Degree,Sun Devil Stadium,Cleared By Arrest
17-68520T,9/1,2357,9/1,2357,9/2,0031 hrs,"Under 21 w/ Alcohol in the Body X 2, Unlawful toSell/Furnish/Dispose of/ Give liquor to an Under AgedPerson X 2",Parking Structure 4,Cleared By Arrest
17-80000188T,9/1,1428 hrs,9/1,0810 hrs,9/1,1230 hrs,Bike Theft,"Business AdministrationC-Wing",Pending
17-80000189T,9/1,0850 hrs,8/31,1600 hrs,8/31,2330 hrs,Hit and Run,Parking Structure 4,Pending
17-80000190T,9/1,1802 hrs,9/1,0830 hrs,9/1,1630 hrs,Bike Theft,Music East,Pending
"",,,,,,,,,
Incident #,"DateReported","TimeReported","OccurredFromThru",Description,Location,Disposition,,,
"",,Date,Time,Date,Time,,,,
17-68523T,9/2,0111 hrs,9/2,0111 hrs,9/2,0206 hrs,"DUI-Alcohol, Drug, Vapor, Combination Thereof",Parking Area 20,Pending
17-68531T,9/2,0028 hrs,9/2,0028 hrs,9/2,0028 hrs,Possession of Marijuana X 3,"E University Dr/ SForest Ave",Cleared By Arrest
17-68545D,9/2,0125 hrs,8/18,1830 hrs,8/18,1830 hrs,Sexual Abuse,"Tempe Campus-Unknown Dorm",Pending
17-68727T,9/2,2015 hrs,9/2,2015 hrs,9/2,2015 hrs,Reckless Driving,Parking Area 20,Cleared By Arrest
17-68771T,9/2,2158 hrs,9/2,2115 hrs,9/2,2145 hrs,Theft,Hayden Library,Pending
17-68777T,9/2,2212 hrs,9/2,2212 hrs,9/3,0124 hrs,"Possession of Marijuana X2 , Possession of DrugParaphernalia X 2, DUI-Alcohol, Drug, Vapor,Combination Thereof, DUI w/ Drugs or Metabolite","S McAllister Ave/ ELemon St",Pending
17-68817T,9/2,2350 hrs,9/2,2350 hrs,9/3,0048 hrs,"Under 21 w/ Alcohol in the Body, Unlawful toSell/Furnish/Dispose of/ Give Liquor to an UnderAged Person",Manzanita Hall,Cleared By Arrest
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
Incident #,"DateReported","TimeReported","OccurredFromThru",Description,Location,Disposition,,,
"",,Date,Time,Date,Time,,,,
17-68868T,9/3,0249 hrs,9/3,0249 hrs,9/3,0249 hrs,"DUI-Aggravated, While Suspended for DUI.",S Power Rd/E Ray Rd,Pending
17-68870T,9/3,0255 hrs,9/3,0255 hrs,9/3,0255 hrs,"Unlawful to Consume Liquor While Driving or w/inPassenger Compartment.",Parking Structure 5,Cleared By Arrest
